??,????,????,??????,??????,??????,?????,?????
00:00 ~ 00:05,1,0,0,0,0,,
00:05 ~ 00:10,1,0,0,0,0,,
00:10 ~ 00:15,2,0,0,0,0,,
00:15 ~ 00:20,2,2,0,0,0,,
00:20 ~ 00:25,2,2,1,0,0,,
00:25 ~ 00:30,2,2,1,0,0,,
00:30 ~ 00:35,2,2,0,1,0,,
00:35 ~ 00:40,2,2,0,0,0,,
00:40 ~ 00:45,2,2,1,0,0,,
00:45 ~ 00:50,2,2,0,0,0,,
00:50 ~ 00:55,2,2,0,2,0,,
00:55 ~ 01:00,2,2,0,2,0,,
01:00 ~ 01:05,2,2,0,1,0,,
01:05 ~ 01:10,2,2,0,0,0,,
01:10 ~ 01:15,2,2,0,0,0,,
01:15 ~ 01:20,2,2,0,1,0,,
01:20 ~ 01:25,2,2,0,4,0,,
01:25 ~ 01:30,2,2,0,4,0,,
01:30 ~ 01:35,2,2,0,4,0,,
01:35 ~ 01:40,2,2,1,1,0,,
01:40 ~ 01:45,2,2,0,0,0,,
01:45 ~ 01:50,2,2,1,0,0,,
01:50 ~ 01:55,2,2,0,0,0,,
01:55 ~ 02:00,2,2,1,0,0,,
02:00 ~ 02:05,2,2,1,0,0,,
02:05 ~ 02:10,2,2,1,0,0,,
02:10 ~ 02:15,2,2,0,1,0,,
02:15 ~ 02:20,2,2,4,4,0,,
02:20 ~ 02:25,2,2,1,1,0,,
02:25 ~ 02:30,2,2,0,0,0,,
02:30 ~ 02:35,2,2,0,0,0,,
02:35 ~ 02:40,2,2,1,1,0,,
02:40 ~ 02:45,2,2,0,1,0,,
02:45 ~ 02:50,2,2,0,2,0,,
02:50 ~ 02:55,2,2,1,0,0,,
02:55 ~ 03:00,2,2,1,0,0,,
03:00 ~ 03:05,2,1,2,0,0,,
03:05 ~ 03:10,2,1,0,0,0,,
03:10 ~ 03:15,2,2,0,0,0,,
03:15 ~ 03:20,2,2,0,0,0,,
03:20 ~ 03:25,2,0,0,0,0,,
03:25 ~ 03:30,2,0,0,0,0,,
03:30 ~ 03:35,2,0,0,0,0,,
03:35 ~ 03:40,2,0,0,0,0,,
03:40 ~ 03:45,2,0,0,0,0,,
03:45 ~ 03:50,2,0,0,0,0,,
03:50 ~ 03:55,2,0,,,0,,
03:55 ~ 04:00,2,0,,,0,,
04:00 ~ 04:05,2,0,,,0,,
04:05 ~ 04:10,3,2,,,,,
04:10 ~ 04:15,3,1,,,,,
04:15 ~ 04:20,2,1,,,,,
04:20 ~ 04:25,0,1,,,,,
04:25 ~ 04:30,0,2,,,,,
04:30 ~ 04:35,3,2,,,,,
04:35 ~ 04:40,1,1,,,,,
04:40 ~ 04:45,2,2,,,,,
04:45 ~ 04:50,2,2,,,,,
04:50 ~ 04:55,3,2,,,,,
04:55 ~ 05:00,3,2,,,,,
05:00 ~ 05:05,3,1,,,,,
05:05 ~ 05:10,2,2,,,,,
05:10 ~ 05:15,2,2,,,,,
05:15 ~ 05:20,2,2,,,,,
05:20 ~ 05:25,3,3,,,,,
05:25 ~ 05:30,2,2,,,,,
05:30 ~ 05:35,2,2,,,,,
05:35 ~ 05:40,2,2,,,,,
05:40 ~ 05:45,2,2,,,,,
05:45 ~ 05:50,2,2,,,,,
05:50 ~ 05:55,2,2,,,,,
05:55 ~ 06:00,2,2,,,,,
06:00 ~ 06:05,2,2,,,,,
06:05 ~ 06:10,2,2,,,,,
06:10 ~ 06:15,3,2,,,,,
06:15 ~ 06:20,2,2,,,,,
06:20 ~ 06:25,2,2,,,,,
06:25 ~ 06:30,2,2,,,,,
06:30 ~ 06:35,2,2,,,,,
06:35 ~ 06:40,2,2,,,,,
06:40 ~ 06:45,2,2,,,,,
06:45 ~ 06:50,2,2,,,,,
06:50 ~ 06:55,2,2,,,,,
06:55 ~ 07:00,2,2,,,,,
07:00 ~ 07:05,2,2,,,,,
07:05 ~ 07:10,2,2,,,,,
07:10 ~ 07:15,2,2,,,,,
07:15 ~ 07:20,2,2,,,,,
07:20 ~ 07:25,2,2,,,,,
07:25 ~ 07:30,2,2,,,,,
07:30 ~ 07:35,2,2,,,,,
07:35 ~ 07:40,2,2,,,,,
07:40 ~ 07:45,2,2,,,,,
07:45 ~ 07:50,2,2,,,,,
07:50 ~ 07:55,3,2,,,,,
07:55 ~ 08:00,3,2,,,,,
08:00 ~ 08:05,2,2,,,,,
08:05 ~ 08:10,3,2,,,,,
08:10 ~ 08:15,2,2,,,,,
08:15 ~ 08:20,2,2,,,,,
08:20 ~ 08:25,2,2,,,,,
08:25 ~ 08:30,3,2,,,,,
08:30 ~ 08:35,3,2,,,,,
08:35 ~ 08:40,2,2,,,,,
08:40 ~ 08:45,2,2,,,,,
08:45 ~ 08:50,2,2,,,,,
08:50 ~ 08:55,2,2,,,,,
08:55 ~ 09:00,2,2,,,,,
09:00 ~ 09:05,2,2,,,,,
09:05 ~ 09:10,2,2,,,,,
09:10 ~ 09:15,2,2,,,,,
09:15 ~ 09:20,2,2,,,,,
09:20 ~ 09:25,3,2,,,,,
09:25 ~ 09:30,3,2,,,,,
09:30 ~ 09:35,3,4,,,,,
09:35 ~ 09:40,4,4,,,0,2,0
09:40 ~ 09:45,2,4,,,0,1,0
09:45 ~ 09:50,,,,,,,
09:50 ~ 09:55,,,,,,,
09:55 ~ 10:00,,,,,,,
10:00 ~ 10:05,,,,,,,
10:05 ~ 10:10,,,,,,,
10:10 ~ 10:15,,,,,,,
10:15 ~ 10:20,,,,,,,
10:20 ~ 10:25,,,,,,,
